id,node,p_specified,q_specified
201,1,75559.96424922015,2119.7561886191743
202,2,3897910.78949213034,-8632.07774532976
203,3,95478.41471359684,18229.00620748075
204,4,-63249.17346947564,-712.0333973476627
205,5,-64900.69141993268,14743.624463381835
206,6,348049.77201387816,36026.00482909736
207,7,21984.741221515593,24426.02990667891
208,8,-67789.02445002584,32094.560258638798
209,9,194810.9302324328,4783.500971894942
210,10,-65128.11331122106,-4447.890651114186
211,11,143731.66910079535,5949.794993746957
212,12,224756.36715177132,39976.29538075794
213,13,80358.3966250818,22745.972387370846
214,14,313227.5266984018,23551.04963072692
215,15,234550.7662600798,19216.914424467115
216,16,293012.8372641854,-9912.346527315487
217,17,386582.49982988625,-2654.9452654344077
218,18,-68922.11726350724,13959.630269749312
219,19,329471.2892289656,-5256.568898739658
220,20,3828501.06297316383,27023.499817300326
221,21,55155.355929427635,37523.58862659218
